	Microbe	Supplementation	Microbe_Supplementation	Time	Rep	Root_Length		
329	M.free	Water	M.free_Water	72h	4	2.226		
330	M.free	Water	M.free_Water	72h	4	1.602		
331	M.free	Water	M.free_Water	72h	4	2.132		
332	M.free	Water	M.free_Water	72h	4	1.951		
333	M.free	Water	M.free_Water	72h	4	2.146		
334	M.free	Water	M.free_Water	72h	4	2.068		
335	M.free	Water	M.free_Water	72h	4	1.67		
336	M.free	Water	M.free_Water	72h	4	1.859		
337	M.free	Water	M.free_Water	72h	4	2.119		
338	M.free	Water	M.free_Water	72h	4	2.38		
339	M.free	Water	M.free_Water	72h	4	2.077		
340	M.free	Water	M.free_Water	72h	4	1.776		
341	M.free	Water	M.free_Water	72h	4	2.489		
342	M.free	Water	M.free_Water	72h	4	1.945		
343	M.free	Water	M.free_Water	72h	4	2.341		
344	M.free	Water	M.free_Water	72h	4	1.934		
345	M.free	Water	M.free_Water	72h	4	1.516		
346	M.free	Water	M.free_Water	72h	4	1.67		
347	M.free	Water	M.free_Water	72h	4	2.511		
348	M.free	Water	M.free_Water	72h	4	2.544		
349	M.free	Water	M.free_Water	72h	4	2.547		
350	M.free	Water	M.free_Water	72h	4	2.67		
351	M.free	Water	M.free_Water	72h	4	1.67		
352	M.free	Water	M.free_Water	72h	4	2.51		
353	M.free	Water	M.free_Water	72h	4	2.113		
354	M.free	Water	M.free_Water	72h	4	1.945		
355	M.free	Water	M.free_Water	72h	4	2.071		
356	M.free	Water	M.free_Water	72h	4	2.351		
357	M.free	Water	M.free_Water	72h	4	2.209		
358	M.free	Water	M.free_Water	72h	4	2.423		
359	M.free	Water	M.free_Water	72h	4	1.776		
360	M.free	Water	M.free_Water	72h	4	2.138		
361	M.free	Water	M.free_Water	72h	4	1.504		
362	M.free	Water	M.free_Water	72h	4	2.59		
363	M.free	Water	M.free_Water	72h	4	2.357		
364	M.free	Water	M.free_Water	72h	4	2.025		
365	M.free	Water	M.free_Water	72h	4	1.935		
366	M.free	Water	M.free_Water	72h	4	2.514		
367	M.free	Water	M.free_Water	72h	4	1.67		
368	M.free	Water	M.free_Water	72h	4	2.326		
369	M.free	Water	M.free_Water	72h	4	2.136		
370	M.free	Water	M.free_Water	72h	4	2.4		
371	M.free	Water	M.free_Water	72h	4	2.342		
372	M.free	Water	M.free_Water	72h	4	1.965		
373	M.free	Water	M.free_Water	72h	4	2.407		
374	M.free	Water	M.free_Water	72h	4	2.012		
375	M.free	Water	M.free_Water	72h	4	2.337		
376	M.free	Water	M.free_Water	72h	4	2.386		
377	M.free	Water	M.free_Water	72h	4	2.37		
378	M.free	Water	M.free_Water	72h	4	2.035		
379	M.free	Water	M.free_Water	72h	4	2.013		
380	M.free	Water	M.free_Water	72h	4	1.935		
381	M.free	Water	M.free_Water	72h	4	1.971		
382	M.free	Water	M.free_Water	72h	4	2.335		
383	M.free	Water	M.free_Water	72h	4	1.523		
384	M.free	Water	M.free_Water	72h	4	2.642		
385	M.free	Water	M.free_Water	72h	4	2.362		
386	M.free	Water	M.free_Water	72h	4	1.965		
387	M.free	Water	M.free_Water	72h	4	1.671		
388	M.free	Water	M.free_Water	72h	4	1.817		
389	M.free	Water	M.free_Water	72h	4	2.384		
390	M.free	Water	M.free_Water	72h	4	2.52		
391	M.free	Water	M.free_Water	72h	4	2.513		
392	M.free	Water	M.free_Water	72h	4	2.081		
393	M.free	Water	M.free_Water	72h	4	1.69		
394	M.free	Water	M.free_Water	72h	4	1.548		
395	M.free	Water	M.free_Water	72h	4	1.992		
396	M.free	Water	M.free_Water	72h	4	2.394		
397	M.free	Water	M.free_Water	72h	4	1.69		
398	M.free	Water	M.free_Water	72h	4	2.565		
399	M.free	Water	M.free_Water	72h	4	2.652		
400	M.free	Water	M.free_Water	72h	4	1.857		
401	F16	Water	F16_Water	72h	1	2.559		
402	F16	Water	F16_Water	72h	1	1.78		
403	F16	Water	F16_Water	72h	1	1.206		
404	F16	Water	F16_Water	72h	1	2.052		
405	F16	Water	F16_Water	72h	1	2.762		
406	F16	Water	F16_Water	72h	1	2.149		
407	F16	Water	F16_Water	72h	1	2.217		
408	F16	Water	F16_Water	72h	1	1.949		
409	F16	Water	F16_Water	72h	1	1.719		
410	F16	Water	F16_Water	72h	1	1.93		
411	F16	Water	F16_Water	72h	1	2.149		
412	F16	Water	F16_Water	72h	1	1.965		
413	F16	Water	F16_Water	72h	1	1.511		
414	F16	Water	F16_Water	72h	1	2.102		
415	F16	Water	F16_Water	72h	1	1.978		
416	F16	Water	F16_Water	72h	1	1.891		
417	F16	Water	F16_Water	72h	1	2.343		
418	F16	Water	F16_Water	72h	1	2.569		
419	F16	Water	F16_Water	72h	1	1.995		
420	F16	Water	F16_Water	72h	1	2.567		
421	F16	Water	F16_Water	72h	1	1.805		
422	F16	Water	F16_Water	72h	1	1.868		
423	F16	Water	F16_Water	72h	1	1.995		
424	F16	Water	F16_Water	72h	1	2.123		
425	F16	Water	F16_Water	72h	1	2.01		
426	F16	Water	F16_Water	72h	1	2.037		
427	F16	Water	F16_Water	72h	1	1.543		
428	F16	Water	F16_Water	72h	1	1.704		
429	F16	Water	F16_Water	72h	1	2.052		
430	F16	Water	F16_Water	72h	1	1.955		
431	F16	Water	F16_Water	72h	1	1.955		
432	F16	Water	F16_Water	72h	1	2.139		
433	F16	Water	F16_Water	72h	1	2.356		
434	F16	Water	F16_Water	72h	1	2.316		
435	F16	Water	F16_Water	72h	1	2.261		
436	F16	Water	F16_Water	72h	1	2		
437	F16	Water	F16_Water	72h	1	2.01		
438	F16	Water	F16_Water	72h	1	2.718		
439	F16	Water	F16_Water	72h	1	1.949		
440	F16	Water	F16_Water	72h	1	1.948		
441	F16	Water	F16_Water	72h	1	2.097		
442	F16	Water	F16_Water	72h	1	2.125		
443	F16	Water	F16_Water	72h	1	2.298		
444	F16	Water	F16_Water	72h	1	2.123		
445	F16	Water	F16_Water	72h	1	2.144		
446	F16	Water	F16_Water	72h	1	1.983		
447	F16	Water	F16_Water	72h	1	1.249		
448	F16	Water	F16_Water	72h	1	1.738		
449	F16	Water	F16_Water	72h	1	2.211		
450	F16	Water	F16_Water	72h	1	1.599		
451	F16	Water	F16_Water	72h	1	1.854		
452	F16	Water	F16_Water	72h	1	2.738		
453	F16	Water	F16_Water	72h	1	1.13		
454	F16	Water	F16_Water	72h	1	1.891		
455	F16	Water	F16_Water	72h	1	1.511		
456	F16	Water	F16_Water	72h	1	1.934		
457	F16	Water	F16_Water	72h	1	1.872		
458	F16	Water	F16_Water	72h	1	2.177		
459	F16	Water	F16_Water	72h	1	1.915		
460	F16	Water	F16_Water	72h	1	1.828		
461	F16	Water	F16_Water	72h	1	2.212		
462	F16	Water	F16_Water	72h	1	2.233		
463	F16	Water	F16_Water	72h	1	1.901		
464	F16	Water	F16_Water	72h	1	1.856		
465	F16	Water	F16_Water	72h	1	2.52		
466	F16	Water	F16_Water	72h	1	1.78		
467	F16	Water	F16_Water	72h	1	2.039		
468	F16	Water	F16_Water	72h	1	1.738		
469	F16	Water	F16_Water	72h	1	1.66		
470	F16	Water	F16_Water	72h	1	2.846		
471	F16	Water	F16_Water	72h	1	1.499		
472	F16	Water	F16_Water	72h	1	1.755		
473	F16	Water	F16_Water	72h	1	1.862		
474	F16	Water	F16_Water	72h	1	2.898		
475	F16	Water	F16_Water	72h	1	2.217		
476	F16	Water	F16_Water	72h	1	1.684		
477	F16	Water	F16_Water	72h	1	2.166		
478	F16	Water	F16_Water	72h	1	2.759		
479	F16	Water	F16_Water	72h	1	2.298		
480	F16	Water	F16_Water	72h	1	1.78		
481	F16	Water	F16_Water	72h	1	2.166		
482	F16	Water	F16_Water	72h	1	2.786		
483	F16	Water	F16_Water	72h	1	1.266		
484	F16	Water	F16_Water	72h	1	2.316		
485	F16	Water	F16_Water	72h	1	2.367		
486	F16	Water	F16_Water	72h	1	1.86		
487	F16	Water	F16_Water	72h	1	2.46		
488	F16	Water	F16_Water	72h	1	2.035		
489	F16	Water	F16_Water	72h	1	1.738		
490	F16	Water	F16_Water	72h	1	1.597		
491	F16	Water	F16_Water	72h	1	1.965		
492	F16	Water	F16_Water	72h	1	1.482		
493	F16	Water	F16_Water	72h	1	2.292		
494	F16	Water	F16_Water	72h	1	2.13		
495	F16	Water	F16_Water	72h	1	1.955		
496	F16	Water	F16_Water	72h	1	3		
497	F16	Water	F16_Water	72h	1	1.878		
498	F16	Water	F16_Water	72h	1	2.043		
499	F16	Water	F16_Water	72h	1	2.474		
500	F16	Water	F16_Water	72h	1	1.78		
501	F16	Water	F16_Water	72h	2	2.207		
502	F16	Water	F16_Water	72h	2	2.377		
503	F16	Water	F16_Water	72h	2	1.854		
504	F16	Water	F16_Water	72h	2	2.166		
505	F16	Water	F16_Water	72h	2	2.654		
506	F16	Water	F16_Water	72h	2	2.4		
507	F16	Water	F16_Water	72h	2	2.233		
508	F16	Water	F16_Water	72h	2	2.425		
509	F16	Water	F16_Water	72h	2	2.498		
510	F16	Water	F16_Water	72h	2	2.672		
511	F16	Water	F16_Water	72h	2	1.653		
512	F16	Water	F16_Water	72h	2	1.983		
513	F16	Water	F16_Water	72h	2	2.46		
514	F16	Water	F16_Water	72h	2	2.212		
515	F16	Water	F16_Water	72h	2	1.86		
516	F16	Water	F16_Water	72h	2	1.955		
517	F16	Water	F16_Water	72h	2	1.706		
518	F16	Water	F16_Water	72h	2	1.738		
519	F16	Water	F16_Water	72h	2	2.109		
520	F16	Water	F16_Water	72h	2	2.369		
521	F16	Water	F16_Water	72h	2	2.037		
522	F16	Water	F16_Water	72h	2	0.499		
523	F16	Water	F16_Water	72h	2	1.976		
524	F16	Water	F16_Water	72h	2	1.854		
525	F16	Water	F16_Water	72h	2	2.109		
526	F16	Water	F16_Water	72h	2	2.846		
527	F16	Water	F16_Water	72h	2	1.93		
528	F16	Water	F16_Water	72h	2	1.955		
529	F16	Water	F16_Water	72h	2	1.949		
530	F16	Water	F16_Water	72h	2	2.413		
531	F16	Water	F16_Water	72h	2	2.151		
532	F16	Water	F16_Water	72h	2	0.983		
533	F16	Water	F16_Water	72h	2	2.377		
534	F16	Water	F16_Water	72h	2	1.738		
535	F16	Water	F16_Water	72h	2	2.1		
536	F16	Water	F16_Water	72h	2	2.043		
537	F16	Water	F16_Water	72h	2	1.719		
538	F16	Water	F16_Water	72h	2	2.178		
539	F16	Water	F16_Water	72h	2	2.015		
540	F16	Water	F16_Water	72h	2	2.388		
541	F16	Water	F16_Water	72h	2	2.737		
542	F16	Water	F16_Water	72h	2	1.97		
543	F16	Water	F16_Water	72h	2	1.772		
544	F16	Water	F16_Water	72h	2	2.392		
545	F16	Water	F16_Water	72h	2	2.13		
546	F16	Water	F16_Water	72h	2	2.909		
547	F16	Water	F16_Water	72h	2	1.909		
